age	dominant_hand	english_level	familiarity	gender	language	max_touch_points	nationality	screen_height	screen_width	swipe_finger	swipe_hand	timestamp	uid	vendor
22	right	advanced	sometimes	male	en	5	br	780	360	thumb	right	1582070534	2qe84rjbo078q08m93d6bjtggt	google inc.
24	right	native	sometimes	female	en	5	jm	640	360	thumb	both	1584111497	7bhqtphn07hjj6aqfjdjp2j873	google inc.
18	left	advanced	sometimes	female	en	5	gb	667	375	thumb	both	1580082300	9gatld0huf12d9mp3uubgc2vb7	apple computer, inc.
23	right	advanced	often	female	en	5	ng	800	360	thumb	both	1583683374	9t2au48iu189sgq15u92d2ltpr	google inc.
30	right	advanced	rarely	female	en	5	us	667	375	index	right	1582173418	bgde5i0tom5p4jbeiflg8npvt8	apple computer, inc.
31	right	intermediate	rarely	female	es	5	mx	736	414	index	right	1583111369	e45luoq2bs7cdtrviu60cmuflr	apple computer, inc.
19	right	intermediate	rarely	female	es	5	mx	667	375	thumb	right	1581729049	f29s43j9e6ahsbvi5tn94i9kq9	apple computer, inc.
24	right	beginner	everyday	female	en	5	ph	720	360	thumb	both	1581073586	g0n44jhemirddk1no0h01lt4vu	google inc.
34	right	advanced	often	male	en	5	gb	640	360	thumb	right	1583423279	g34kimpcr0h3c2rv1ud4ecljto	google inc.
21	right	intermediate	never	female	en	5	ph	760	360	thumb	right	1581300526	g864cph2idn4jv74v17jlm3iho	google inc.
24	right	beginner	sometimes	female	en	5	ph	760	360	thumb	right	1579844658	hn4t4r4cvp8tnl1p6hu89r7j6h	google inc.
18	right	advanced	often	male	en	5	ro	841	421	thumb	right	1580411700	igmtoofij0rscc7v9o8ojf0kpu	google inc.
18	right	advanced	often	male	en	5	ca	892	412	thumb	right	1581051316	jtrn7s22hhe2cde0a3vntdtn2j	google inc.
18	right	intermediate	everyday	female	en	5	ph	772	360	index	right	1583117921	ke6720krbeqof0b0n3aot7vped	google inc.
30	right	native	often	female	en	5	us	740	360	thumb	both	1581447556	llv4eccrmduf4bui18965e0229	google inc.
18	right	beginner	rarely	female	en	5	in	640	360	index	right	1580784025	m3r7o5na0r0ck80biv0itbmk07	google inc.
50	right	native	everyday	female	en	5	us	740	360	thumb	right	1580596085	mift212ua1u68fvlu6qs2hadcj	google inc.
32	right	advanced	rarely	female	en	5	ng	892	412	index	right	1581611714	mn0j6e75gftr7sj677l20cvof0	google inc.
